
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 8192, align = 65536, org size = 10085684, cmp size = 7309312, cmp_ratio = 0.72472, pad_size = 888871, pad_ratio = 0.12161
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 8192, align = 131072, org size = 10085684, cmp size = 7014400, cmp_ratio = 0.69548, pad_size = 593959, pad_ratio = 0.08468
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 16384, align = 32768, org size = 10085684, cmp size = 6723584, cmp_ratio = 0.66665, pad_size = 1151575, pad_ratio = 0.17127
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 16384, align = 65536, org size = 10085684, cmp size = 5763072, cmp_ratio = 0.57141, pad_size = 191063, pad_ratio = 0.03315
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 16384, align = 131072, org size = 10085684, cmp size = 5762048, cmp_ratio = 0.57131, pad_size = 190039, pad_ratio = 0.03298
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 32768, align = 32768, org size = 10085684, cmp size = 5042176, cmp_ratio = 0.49993, pad_size = 283072, pad_ratio = 0.05614
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 32768, align = 65536, org size = 10085684, cmp size = 5040640, cmp_ratio = 0.49978, pad_size = 281536, pad_ratio = 0.05585
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 32768, align = 131072, org size = 10085684, cmp size = 5040640, cmp_ratio = 0.49978, pad_size = 281536, pad_ratio = 0.05585

file_name = data/tgt/x-ray, algo_type = 0, align_type = 0, bs = 16384, align = 4096, org size = 8474240, cmp size = 8474624, cmp_ratio = 1.00005, pad_size = 98776, pad_ratio = 0.01166
file_name = data/tgt/x-ray, algo_type = 1, align_type = 0, bs = 16384, align = 4096, org size = 8474240, cmp size = 6615040, cmp_ratio = 0.78061, pad_size = 438762, pad_ratio = 0.06633
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 4096, align = 32768, org size = 8474240, cmp size = 8474624, cmp_ratio = 1.00005, pad_size = 19105, pad_ratio = 0.00225
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 4096, align = 65536, org size = 8474240, cmp size = 8474624, cmp_ratio = 1.00005, pad_size = 19105, pad_ratio = 0.00225
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 4096, align = 131072, org size = 8474240, cmp size = 8474624, cmp_ratio = 1.00005, pad_size = 19105, pad_ratio = 0.00225
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 8192, align = 32768, org size = 8474240, cmp size = 8474624, cmp_ratio = 1.00005, pad_size = 43624, pad_ratio = 0.00515
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 8192, align = 65536, org size = 8474240, cmp size = 8474624, cmp_ratio = 1.00005, pad_size = 43624, pad_ratio = 0.00515
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 8192, align = 131072, org size = 8474240, cmp size = 8474624, cmp_ratio = 1.00005, pad_size = 43624, pad_ratio = 0.00515
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 16384, align = 32768, org size = 8474240, cmp size = 8474112, cmp_ratio = 0.99998, pad_size = 98264, pad_ratio = 0.01160
file_name = data/tgt/x-ray, algo_type = 0, align_type = 1, bs = 16384, align = 65536, org size = 8474240, cmp size = 8474112, cmp_ratio = 0.99998, pad_size = 98264, pad_ratio = 0.01160
